link_team,club_team,link_lega,nome_lega
/it/team/241/fc-barcellona/,FC Barcellona,/it/teams/?league=53,LaLiga Santander
/it/team/243/real-madrid/,Real Madrid,/it/teams/?league=53,LaLiga Santander
/it/team/45/juventus/,Juventus,/it/teams/?league=31,Serie A TIM
/it/team/10/manchester-city/,Manchester City,/it/teams/?league=13,Premier League
/it/team/21/bayern-monaco/,Bayern Monaco,/it/teams/?league=19,Bundesliga
/it/team/73/psg/,PSG,/it/teams/?league=16,Ligue 1 Conforama
/it/team/240/atl%C3%A9tico-madrid/,Atlético Madrid,/it/teams/?league=53,LaLiga Santander
/it/team/18/tottenham/,Tottenham,/it/teams/?league=13,Premier League
/it/team/9/liverpool/,Liverpool,/it/teams/?league=13,Premier League
/it/team/5/chelsea/,Chelsea,/it/teams/?league=13,Premier League
/it/team/48/napoli/,Napoli,/it/teams/?league=31,Serie A TIM
/it/team/11/manchester-utd/,Manchester Utd,/it/teams/?league=13,Premier League
/it/team/44/inter/,Inter,/it/teams/?league=31,Serie A TIM
/it/team/1/arsenal/,Arsenal,/it/teams/?league=13,Premier League
/it/team/22/bor-dortmund/,Bor. Dortmund,/it/teams/?league=19,Bundesliga
/it/team/46/lazio/,Lazio,/it/teams/?league=31,Serie A TIM
/it/team/52/roma/,Roma,/it/teams/?league=31,Serie A TIM
/it/team/481/siviglia-fc/,Siviglia FC,/it/teams/?league=53,LaLiga Santander
/it/team/32/leverkusen/,Leverkusen,/it/teams/?league=19,Bundesliga
/it/team/461/valencia-cf/,Valencia CF,/it/teams/?league=53,LaLiga Santander
/it/team/47/milan/,Milan,/it/teams/?league=31,Serie A TIM
/it/team/236/porto/,Porto,/it/teams/?league=308,Liga NOS
/it/team/245/ajax/,Ajax,/it/teams/?league=10,Eredivisie
/it/team/449/real-betis/,Real Betis,/it/teams/?league=53,LaLiga Santander
/it/team/69/as-monaco/,AS Monaco,/it/teams/?league=16,Ligue 1 Conforama
/it/team/112172/rb-lipsia/,RB Lipsia,/it/teams/?league=19,Bundesliga
/it/team/66/ol/,OL,/it/teams/?league=16,Ligue 1 Conforama
/it/team/448/athletic-bilbao/,Athletic Bilbao,/it/teams/?league=53,LaLiga Santander
/it/team/23/mgladbach/,M'gladbach,/it/teams/?league=19,Bundesliga
/it/team/19/west-ham-utd/,West Ham Utd,/it/teams/?league=13,Premier League
/it/team/234/benfica/,Benfica,/it/teams/?league=308,Liga NOS
/it/team/483/villarreal-cf/,Villarreal CF,/it/teams/?league=53,LaLiga Santander
/it/team/7/everton/,Everton,/it/teams/?league=13,Premier League
/it/team/1824/e-francoforte/,E. Francoforte,/it/teams/?league=19,Bundesliga
/it/team/219/olym-marsiglia/,Olym. Marsiglia,/it/teams/?league=16,Ligue 1 Conforama
/it/team/457/real-sociedad/,Real Sociedad,/it/teams/?league=53,LaLiga Santander
/it/team/237/sporting/,Sporting,/it/teams/?league=308,Liga NOS
/it/team/10029/hoffenheim/,Hoffenheim,/it/teams/?league=19,Bundesliga
/it/team/95/leicester-city/,Leicester City,/it/teams/?league=13,Premier League
/it/team/175/wolfsburg/,Wolfsburg,/it/teams/?league=19,Bundesliga
/it/team/34/schalke/,Schalke,/it/teams/?league=19,Bundesliga
/it/team/39/atalanta/,Atalanta,/it/teams/?league=31,Serie A TIM
/it/team/54/torino/,Torino,/it/teams/?league=31,Serie A TIM
/it/team/247/psv/,PSV,/it/teams/?league=10,Eredivisie
/it/team/450/celta-vigo/,Celta Vigo,/it/teams/?league=53,LaLiga Santander
/it/team/327/be%C5%9Fikta%C5%9F/,Beşiktaş,/it/teams/?league=68,Süper Lig
/it/team/1799/crystal-palace/,Crystal Palace,/it/teams/?league=13,Premier League
/it/team/467/sd-eibar/,SD Eibar,/it/teams/?league=53,LaLiga Santander
/it/team/1943/bournemouth/,Bournemouth,/it/teams/?league=13,Premier League
/it/team/110062/girona/,Girona,/it/teams/?league=53,LaLiga Santander
/it/team/1860/getafe-cf/,Getafe CF,/it/teams/?league=53,LaLiga Santander
/it/team/1795/watford/,Watford,/it/teams/?league=13,Premier League
/it/team/1877/buenos-aires/,Buenos Aires,/it/teams/?league=353,SAF
/it/team/100765/lokomotiv-mosca/,Lokomotiv Mosca,/it/teams/?league=76,Resto del mondo
/it/team/452/rcd-espanyol/,RCD Espanyol,/it/teams/?league=53,LaLiga Santander
/it/team/166/hertha-berlino/,Hertha Berlino,/it/teams/?league=19,Bundesliga
/it/team/1796/burnley/,Burnley,/it/teams/?league=13,Premier League
/it/team/13/newcastle-utd/,Newcastle Utd,/it/teams/?league=13,Premier League
/it/team/110/wolves/,Wolves,/it/teams/?league=13,Premier League
/it/team/38/werder-brema/,Werder Brema,/it/teams/?league=19,Bundesliga
/it/team/1837/sampdoria/,Sampdoria,/it/teams/?league=31,Serie A TIM
/it/team/101085/racing-club/,Racing Club,/it/teams/?league=353,SAF
/it/team/110374/fiorentina/,Fiorentina,/it/teams/?league=31,Serie A TIM
/it/team/1876/river-plate/,River Plate,/it/teams/?league=353,SAF
/it/team/101014/medipol-ba%C5%9Fak%C5%9Fehir/,Medipol Başakşehir,/it/teams/?league=68,Süper Lig
/it/team/1896/sc-braga/,SC Braga,/it/teams/?league=308,Liga NOS
/it/team/1853/levante-ud/,Levante UD,/it/teams/?league=53,LaLiga Santander
/it/team/31/1-fc-colonia/,1. FC Colonia,/it/teams/?league=20,Bundesliga 2
/it/team/1808/brighton/,Brighton,/it/teams/?league=13,Premier League
/it/team/463/d-alav%C3%A9s/,D. Alavés,/it/teams/?league=53,LaLiga Santander
/it/team/1819/as-saint-%C3%A9tienne/,AS Saint-Étienne,/it/teams/?league=16,Ligue 1 Conforama
/it/team/325/galatasaray/,Galatasaray,/it/teams/?league=68,Süper Lig
/it/team/326/fenerbah%C3%A7e/,Fenerbahçe,/it/teams/?league=68,Süper Lig
/it/team/65/losc-lille/,LOSC Lille,/it/teams/?league=16,Ligue 1 Conforama
/it/team/36/stoccarda/,Stoccarda,/it/teams/?league=19,Bundesliga
/it/team/17/southampton/,Southampton,/it/teams/?league=13,Premier League
/it/team/144/fulham/,Fulham,/it/teams/?league=13,Premier League
/it/team/1970/tigres/,Tigres,/it/teams/?league=341,LIGA Bancomer MX
/it/team/246/feyenoord/,Feyenoord,/it/teams/?league=10,Eredivisie
/it/team/74/stade-rennais/,Stade Rennais,/it/teams/?league=16,Ligue 1 Conforama
/it/team/1032/monterrey/,Monterrey,/it/teams/?league=341,LIGA Bancomer MX
/it/team/189/bologna/,Bologna,/it/teams/?league=31,Serie A TIM
/it/team/55/udinese/,Udinese,/it/teams/?league=31,Serie A TIM
/it/team/231/club-brugge/,Club Brugge,/it/teams/?league=4,Pro League
/it/team/1842/cagliari/,Cagliari,/it/teams/?league=31,Serie A TIM
/it/team/100767/spartak-mosca/,Spartak Mosca,/it/teams/?league=76,Resto del mondo
/it/team/111974/sassuolo/,Sassuolo,/it/teams/?league=31,Serie A TIM
/it/team/101059/shakhtar-donetsk/,Shakhtar Donetsk,/it/teams/?league=76,Resto del mondo
